method,size_category,mean,std,count
constructive + Small To Large,Large,63.235551724137935,25.513221616302605,580
constructive + Small To Large,Medium,61.64227722772277,24.944211708934308,505
constructive + Small To Large,Small,63.157625418060206,25.236783377105294,598
constructive + Small To Large,Very Large,62.160274509803926,25.25975494662981,510
constructive + Small To Large,Very Small,76.95581809657759,24.19144964017192,2133
constructive + Strong To Weak,Large,67.87672413793103,21.629711014634903,580
constructive + Strong To Weak,Medium,66.60356435643565,21.673885033119582,505
constructive + Strong To Weak,Small,68.3621906354515,21.862103816885526,598
constructive + Strong To Weak,Very Large,67.09705882352941,21.404427097857486,510
constructive + Strong To Weak,Very Small,78.29549929676512,21.697018161230467,2133
constructive + Weak To Strong,Large,71.1259827586207,22.3083671168329,580
constructive + Weak To Strong,Medium,69.67362376237624,21.82999307730055,505
constructive + Weak To Strong,Small,70.89366220735786,21.853961217686162,598
constructive + Weak To Strong,Very Large,70.73827450980392,22.486589143740506,510
constructive + Weak To Strong,Very Small,80.88070323488046,21.160067272397693,2133
destructive + Small To Large,Large,74.60903448275862,24.939379728500317,580
destructive + Small To Large,Medium,71.82241584158416,25.09457686831458,505
destructive + Small To Large,Small,73.89558528428093,25.849311183962794,598
destructive + Small To Large,Very Large,73.41719607843136,25.789733526810135,510
destructive + Small To Large,Very Small,80.39925457102672,23.89874163708614,2133
destructive + Strong To Weak,Large,79.81258620689655,20.557129045968214,580
destructive + Strong To Weak,Medium,77.34269306930693,20.49567957460916,505
destructive + Strong To Weak,Small,79.32041806020067,20.95471100314362,598
destructive + Strong To Weak,Very Large,80.11474509803921,20.16235140012317,510
destructive + Strong To Weak,Very Small,82.29732301922175,20.994206721389407,2133
destructive + Weak To Strong,Large,83.23725862068966,21.01536494160946,580
destructive + Weak To Strong,Medium,80.97453465346534,22.148630306088915,505
destructive + Weak To Strong,Small,82.6494314381271,21.815640909354723,598
destructive + Weak To Strong,Very Large,81.2943137254902,22.080815278407254,510
destructive + Weak To Strong,Very Small,85.10635255508673,20.675208604872854,2133
